root of term,terms,accuracy,precision,recall,Fscore,tp,fp,tn,fn
branch,[branch],0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
instanc,[instance],0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
disassembl,[disassembler],0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
extend,[extended],0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
add,[add],0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
read,[read],0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
mapper,[mapper],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
byte,[byte; bytes],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
core,[core],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
tag,[tag],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
handl,[handling; handle],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
call,[call],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
unresolv,[unresolved],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
wildcard,[wildcard],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
synthet,[synthetic],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
explicit,[explicit],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
lookup,[lookup],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
structur,[structural; structure],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
doc,[doc],0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
particip,[participant],0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
frame,[frame],0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
extern,[external],0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
convert,[converter],0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
pool,[pool],0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
switch,[switch],0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
batch,[batch],0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
result,[result],0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
folder,[folder; folders],0.7903711199760437,0.20000000298023224,0.004854368977248669,0.009478673075314135,1,4,787,205
multi,[multi],0.7903711199760437,0.20000000298023224,0.004854368977248669,0.009478673075314135,1,4,787,205
stack,[stack],0.7893680930137634,0.1666666716337204,0.004854368977248669,0.00943396235748213,1,5,786,205
map,[map],0.7893680930137634,0.1666666716337204,0.004854368977248669,0.00943396235748213,1,5,786,205
block,[block],0.7893680930137634,0.1666666716337204,0.004854368977248669,0.00943396235748213,1,5,786,205
signatur,[signature],0.7893680930137634,0.1666666716337204,0.004854368977248669,0.00943396235748213,1,5,786,205
adapt,[adapter],0.7883650660514832,0.1428571492433548,0.004854368977248669,0.009389671459871227,1,6,785,205
resourc,[resource],0.7883650660514832,0.1428571492433548,0.004854368977248669,0.009389671459871227,1,6,785,205
wrapper,[wrapper],0.7873620986938477,0.125,0.004854368977248669,0.009345794476309044,1,7,784,205
to,[to],0.7873620986938477,0.125,0.004854368977248669,0.009345794476309044,1,7,784,205
hierarchi,[hierarchy],0.7853560447692871,0.10000000149011612,0.004854368977248669,0.009259259347888208,1,9,782,205
resolv,[resolved; resolver],0.7843530774116516,0.09090909361839294,0.004854368977248669,0.009216589957159849,1,10,781,205
access,[access; accessed],0.7843530774116516,0.09090909361839294,0.004854368977248669,0.009216589957159849,1,10,781,205
creat,[create],0.7843530774116516,0.09090909361839294,0.004854368977248669,0.009216589957159849,1,10,781,205
entri,[entry],0.7843530774116516,0.09090909361839294,0.004854368977248669,0.009216589957159849,1,10,781,205
problem,[problem],0.7823470234870911,0.07692307978868484,0.004854368977248669,0.009132420191522788,1,12,779,205
cach,[cached; cache],0.7813440561294556,0.0714285746216774,0.004854368977248669,0.00909090919604848,1,13,778,205
node,[node],0.7813440561294556,0.0714285746216774,0.004854368977248669,0.00909090919604848,1,13,778,205
paramet,[parameter],0.7803410291671753,0.06666667014360428,0.004854368977248669,0.009049773866253165,1,14,777,205
valu,[value; values],0.779338002204895,0.0625,0.004854368977248669,0.009009009086864885,1,15,776,205
initi,[initializer; initialization],0.779338002204895,0.0625,0.004854368977248669,0.009009009086864885,1,15,776,205
set,[set],0.7783349752426147,0.05882352963089943,0.004854368977248669,0.008968609945177036,1,16,775,205
import,[import],0.7783349752426147,0.05882352963089943,0.004854368977248669,0.008968609945177036,1,16,775,205
attribut,[attribute; attributes],0.7743229866027832,0.0476190485060215,0.004854368977248669,0.0088105727768705,1,20,771,205
on,[on],0.7402206659317017,0.0181818176060915,0.004854368977248669,0.007662835254237347,1,54,737,205
simpl,[simple],0.7823470234870911,0.0,0.0,0.0,0,11,780,206
cu,[cu],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
vector,[vector],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
char,[char],0.7853560447692871,0.0,0.0,0.0,0,8,783,206
searcher,[searcher],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
argument,[argument],0.7883650660514832,0.0,0.0,0.0,0,5,786,206
guesser,[guesser],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
