identifier,accuracy,precision,recall,Fscore,tp,fp,tn,fn
create,0.7843530774116516,0.09090909361839294,0.004854368977248669,0.009216589957159849,1,10,781,205
collection,0.7953861355781555,1.0,0.009708737954497337,0.019230769408147604,2,0,791,204
instance,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
searcher,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
component,0.791374146938324,0.0,0.0,0.0,0,2,789,206
break,0.791374146938324,0.0,0.0,0.0,0,2,789,206
holder,0.791374146938324,0.0,0.0,0.0,0,2,789,206
return,0.7923771142959595,0.4000000059604645,0.009708737954497337,0.01895734615062827,2,3,788,204
classpath,0.7833500504493713,0.25,0.02427184395492077,0.044247786438680305,5,15,776,201
jar,0.7863590717315674,0.1818181872367859,0.009708737954497337,0.018433179914319697,2,9,782,204
variables,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
delete,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
resource,0.7883650660514832,0.1428571492433548,0.004854368977248669,0.009389671459871227,1,6,785,205
elements,0.7863590717315674,0.1111111119389534,0.004854368977248669,0.009302325667304693,1,8,783,205
internal,0.7983951568603516,0.7777777910232544,0.033980581909418106,0.06511627798727745,7,2,789,199
naming,0.7953861355781555,1.0,0.009708737954497337,0.019230769408147604,2,0,791,204
conventions,0.7963891625404358,1.0,0.014563106931746006,0.02870813423481942,3,0,791,203
query,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
switch,0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
line,0.7853560447692871,0.0,0.0,0.0,0,8,783,206
comment,0.7863590717315674,0.29411765933036804,0.02427184395492077,0.044843048266303115,5,12,779,201
sub,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
routine,0.791374146938324,0.0,0.0,0.0,0,2,789,206
process,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
task,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
manager,0.7923771142959595,0.4444444477558136,0.019417475908994675,0.03720930266921877,4,5,786,202
locator,0.8014042377471924,0.7222222089767456,0.06310679763555527,0.11607143096982175,13,5,786,193
based,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
hierarchy,0.7853560447692871,0.10000000149011612,0.004854368977248669,0.009259259347888208,1,9,782,205
builder,0.7853560447692871,0.2142857164144516,0.014563106931746006,0.027272727527801906,3,11,780,203
recorder,0.7953861355781555,1.0,0.009708737954497337,0.019230769408147604,2,0,791,204
scanner,0.7883650660514832,0.2222222238779068,0.009708737954497337,0.018604651334609385,2,7,784,204
stack,0.7893680930137634,0.1666666716337204,0.004854368977248669,0.00943396235748213,1,5,786,205
map,0.7893680930137634,0.1666666716337204,0.004854368977248669,0.00943396235748213,1,5,786,205
invocation,0.7883650660514832,0.0,0.0,0.0,0,5,786,206
explicit,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
constructor,0.7923771142959595,0.4444444477558136,0.019417475908994675,0.03720930266921877,4,5,786,202
call,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
formatter,0.791374146938324,0.4000000059604645,0.019417475908994675,0.037037037391552834,4,6,785,202
capture,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
parameterized,0.7893680930137634,0.30000001192092896,0.014563106931746006,0.027777778075602985,3,7,784,203
inference,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
assert,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
rewrite,0.7873620986938477,0.25,0.014563106931746006,0.02752293602203407,3,9,782,203
participant,0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
parameter,0.7803410291671753,0.06666667014360428,0.004854368977248669,0.009049773866253165,1,14,777,205
environment,0.791374146938324,0.375,0.014563106931746006,0.028037383428927136,3,5,786,203
answer,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
abort,0.7873620986938477,0.0,0.0,0.0,0,6,785,206
synchronized,0.791374146938324,0.0,0.0,0.0,0,2,789,206
default,0.7873620986938477,0.2857142984867096,0.019417475908994675,0.03636363678419392,4,10,781,202
mapper,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
enclosing,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
value,0.779338002204895,0.0,0.0,0.0,0,14,777,206
short,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
openable,0.791374146938324,0.0,0.0,0.0,0,2,789,206
min,0.791374146938324,0.0,0.0,0.0,0,2,789,206
buffer,0.7863590717315674,0.0,0.0,0.0,0,7,784,206
changed,0.791374146938324,0.0,0.0,0.0,0,2,789,206
null,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
copy,0.7873620986938477,0.20000000298023224,0.009708737954497337,0.018518518695776417,2,8,783,204
multi,0.7903711199760437,0.20000000298023224,0.004854368977248669,0.009478673075314135,1,4,787,205
change,0.7923771142959595,0.4000000059604645,0.009708737954497337,0.01895734615062827,2,3,788,204
job,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
visitor,0.7923771142959595,0.4285714328289032,0.014563106931746006,0.02816901434742621,3,4,787,203
simple,0.7823470234870911,0.0,0.0,0.0,0,11,780,206
cu,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
vector,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
searchable,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
labeled,0.791374146938324,0.0,0.0,0.0,0,2,789,206
argument,0.7883650660514832,0.0,0.0,0.0,0,5,786,206
types,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
guesser,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
finder,0.7863590717315674,0.0,0.0,0.0,0,7,784,206
conditional,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
workspace,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
move,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
batch,0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
initialization,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
monitor,0.791374146938324,0.0,0.0,0.0,0,2,789,206
util,0.791374146938324,0.3333333432674408,0.009708737954497337,0.01886792471496426,2,4,787,204
cancelable,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
problem,0.7823470234870911,0.07692307978868484,0.004854368977248669,0.009132420191522788,1,12,779,205
local,0.7813440561294556,0.125,0.009708737954497337,0.01801801817372977,2,14,777,204
variable,0.7743229866027832,0.14814814925193787,0.019417475908994675,0.03433476426085434,4,23,768,202
resolved,0.7873620986938477,0.0,0.0,0.0,0,6,785,206
inner,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
emulation,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
dependency,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
region,0.7873620986938477,0.0,0.0,0.0,0,6,785,206
public,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
match,0.7843530774116516,0.3199999928474426,0.03883495181798935,0.06926406967177703,8,17,774,198
main,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
combined,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
runtime,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
invisible,0.791374146938324,0.0,0.0,0.0,0,2,789,206
ant,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
adapter,0.7883650660514832,0.1428571492433548,0.004854368977248669,0.009389671459871227,1,6,785,205
messages,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
save,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
empty,0.791374146938324,0.0,0.0,0.0,0,2,789,206
range,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
byte,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
this,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
compiler,0.791374146938324,0.3333333432674408,0.009708737954497337,0.01886792471496426,2,4,787,204
number,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
flattener,0.791374146938324,0.0,0.0,0.0,0,2,789,206
diagnose,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
if,0.791374146938324,0.0,0.0,0.0,0,2,789,206
character,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
wrapper,0.7873620986938477,0.125,0.004854368977248669,0.009345794476309044,1,7,784,205
error,0.791374146938324,0.0,0.0,0.0,0,2,789,206
handling,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
policies,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
basic,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
engine,0.7973921895027161,0.8333333134651184,0.02427184395492077,0.04716980995709158,5,1,790,201
assist,0.7813440561294556,0.0,0.0,0.0,0,12,779,206
double,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
referenced,0.7953861355781555,1.0,0.009708737954497337,0.019230769408147604,2,0,791,204
lookup,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
table,0.7883650660514832,0.0,0.0,0.0,0,5,786,206
named,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
indexer,0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
structural,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
body,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
